State,Pollster,Grade,Sample,Date,weight,Biden,Bloomberg,Booker,Buttigieg,Klobuchar,Sanders,Steyer,Warren,Yang
New Hampshire,RKM Research and Communications Inc.,A/B,407  lv,Jan-26,30.6,22,3,0,10,5,29,0,16,1
Iowa,Emerson College,A-,450  lv,Jan-26,35.1,0,0,0,10,13,0,35,11,5
Iowa,Suffolk University,A-,500  lv,Jan-26,37.1,0,0,0,18,6,0,32,13,3
US,Echelon Insights,-,474  lv,Jan-23,0,56,0,0,32,0,0,0,0,0
US,Echelon Insights,-,474  lv,Jan-23,0,54,0,0,0,0,38,0,0,0
US,Echelon Insights,-,474  lv,Jan-23,0,48,0,0,0,0,0,0,43,0
US,Echelon Insights,-,474  lv,Jan-23,8.4,26,13,0,7,3,23,2,10,3
Iowa,YouGov,B-,1356  lv,Jan-23,19.1,25,0,0,22,7,26,1,15,1
New Hampshire,Marist College,A+,1077  rv,Jan-23,0,14,0,0,17,10,22,3,12,5
New Hampshire,Marist College,A+,697  lv,Jan-23,68.5,15,0,0,17,10,22,3,13,5
New Hampshire,University of New Hampshire,B,516  lv,Jan-23,18,16,1,0,15,6,25,2,12,5
US,ABC News/Washington Post,A+,276  lv,Jan-23,41.2,34,7,0,4,4,22,1,14,6
US,ABC News/Washington Post,A+,349  rv,Jan-23,0,32,8,0,5,3,23,0,12,7
US,ABC News/Washington Post,A+,388  a,Jan-23,0,28,8,0,5,3,24,0,11,7
Missouri,Remington Research Group,C-,1460  lv,Jan-23,8.9,39,14,0,6,8,7,1,9,2
Iowa,Siena College/New York Times Upshot,A+,584  lv,Jan-23,0,23,0,0,23,0,30,0,19,0
Iowa,Siena College/New York Times Upshot,A+,584  lv,Jan-23,64.7,17,1,0,18,8,25,3,15,3
US,Emerson College,A-,497  lv,Jan-23,34.7,30,7,0,6,4,27,1,13,8
US,Ipsos,B-,545  rv,Jan-23,14.6,24,10,0,7,3,20,2,12,3
Utah,Suffolk University,A-,132  lv,Jan-22,16.2,12,10,0,5,3,27,1,14,5
US,Fox News/Beacon Research/Shaw & Co. Research,A-,495  lv,Jan-22,32.6,26,10,0,7,3,23,3,14,5
New Hampshire,MassINC Polling Group,A/B,426  lv,Jan-21,24.8,14,1,0,17,6,29,2,13,5
US,YouGov,B-,470  lv,Jan-21,13.7,28,6,0,8,4,18,2,21,3
US,Monmouth University,A+,372  rv,Jan-20,39.1,30,9,0,6,5,23,1,14,3
Wisconsin,Baldwin Wallace University/Oakland University/Ohio Northern University,-,464  rv,Jan-20,5.8,22,8,0,8,3,28,0,15,2
Michigan,Baldwin Wallace University/Oakland University/Ohio Northern University,-,477  rv,Jan-20,5.8,27,9,0,6,2,22,2,14,4
