forecastdate,state,primarydate,total,bidenvote,bloombergvote,bookervote,buttigiegvote,klobucharvote,sandersvote,steyervote,warrenvote,yangvote,bidenwin,bloombergwin,bookerwin,buttigiegwin,klobucharwin,sanderswin,steyerwin,warrenwin,yangwin,bidendel,bloombergdel,bookerdel,buttigiegdel,klobuchardel,sandersdel,steyerdel,warrendel,yangdel,timestate
1/06/2019,Iowa,3/02/2020,41,39,0,2.6,13.5,3.8,22.5,0,10,1.1,49.1,0,3.4,9.5,4.3,18.8,2.5,6.7,2.7,25,0,0,2,0,14,0,0,0,43617Iowa
1/06/2019,New Hampshire,11/02/2020,24,38,0,2.4,11.3,1.9,17.4,0,10.1,1.4,50.7,0,3.8,8.9,3.9,14.4,3.3,7.5,3.9,16,0,0,0,0,8,0,0,0,43617New Hampshire
1/06/2019,Nevada,22/02/2020,36,35.3,0,0.9,9.1,1.1,22.7,0,11.1,3.5,43.4,0,4,7.5,3.9,20.7,3.4,8.5,4.7,21,0,0,0,0,14,0,1,0,43617Nevada
1/06/2019,South Carolina,29/02/2020,54,52.4,0,3.3,4.8,0.7,13.3,0,10,1,71.5,0,3,3.4,2.4,7.1,1.9,5.4,2.4,51,0,0,0,0,3,0,0,0,43617South Carolina
1/06/2019,Alabama,3/03/2020,52,49.1,0,5.7,5.8,2.3,13.6,0,6.7,0.7,66.7,0,4.1,4.3,3.4,8.3,2.7,4.7,2.8,49,0,0,0,0,3,0,0,0,43617Alabama
1/06/2019,American Samoa,3/03/2020,6,39.7,0,2.7,6.8,1.6,20.3,0,9,1.1,51.2,0,4.1,5.5,3.9,17.2,3.4,6.9,3.9,4,0,0,0,0,2,0,0,0,43617American Samoa
1/06/2019,Arkansas,3/03/2020,31,45.7,0,4.3,7.3,3.1,15.9,0,4.5,0.4,61.4,0,4.1,5.2,4.1,11,2.7,4.2,3.1,23,0,0,0,0,8,0,0,0,43617Arkansas
1/06/2019,California,3/03/2020,416,35,0,1.1,10.8,0.6,22.7,0,11,1.8,42.4,0,3.9,8.6,3.8,21,3.4,8.8,4.3,243,0,0,8,0,157,0,8,0,43617California
1/06/2019,Colorado,3/03/2020,67,37.1,0,0.5,7.1,0.3,24.9,0,10,5.8,44.6,0,3.3,6.1,4,22.7,3.2,7.3,5.3,40,0,0,0,0,27,0,0,0,43617Colorado
1/06/2019,Democrats Abroad,3/03/2020,13,39.7,0,2.7,6.8,1.6,20.3,0,9,1.1,51.4,0,4,5.9,4.1,17.2,3.2,6.9,3.6,9,0,0,0,0,4,0,0,0,43617Democrats Abroad
1/06/2019,Maine,3/03/2020,24,33.5,0,2.5,10,0.6,23.3,0,9.5,2,39.9,0,4.5,8.8,4,22,3.6,8,4.6,14,0,0,0,0,10,0,0,0,43617Maine
1/06/2019,Massachusetts,3/03/2020,91,31.6,0,2.7,13.8,1.6,23.1,0,17.9,1.2,34.2,0,4,10.7,4.5,21.5,3.5,14.1,3.8,37,0,0,6,0,27,0,21,0,43617Massachusetts
1/06/2019,Minnesota,3/03/2020,75,47.5,0,0.7,13,18.3,24.3,0,11.3,0.3,55.4,0,2,6.2,10,15.4,1.7,5.2,2,37,0,0,3,14,19,0,2,0,43617Minnesota
1/06/2019,North Carolina,3/03/2020,110,45.5,0,3,5.4,3.2,16.6,0,7,0.2,61,0,3.5,4.8,3.9,11.9,3,5.2,3.1,81,0,0,0,0,29,0,0,0,43617North Carolina
1/06/2019,Oklahoma,3/03/2020,37,47.3,0,4.8,4.5,2.6,16.6,1.2,4.4,0.4,63.9,0,3.9,3.6,3.9,11.2,2.8,3.9,2.9,27,0,0,0,0,10,0,0,0,43617Oklahoma
1/06/2019,Tennessee,3/03/2020,64,46.6,0,3.6,7.1,3.4,15.4,0,5.8,0.3,63.1,0,3.8,4.7,4,10.4,2.9,4.6,3.2,48,0,0,0,0,16,0,0,0,43617Tennessee
1/06/2019,Texas,3/03/2020,228,38.4,0,1.2,12.1,2.1,17.4,0,8,3.1,48.9,0,3.9,9.6,4.4,14.8,3.2,6.5,4.4,149,0,0,11,0,68,0,0,0,43617Texas
1/06/2019,Utah,3/03/2020,29,40.4,0,0.7,8.6,2.7,18.1,0,11.6,0.9,51.8,0,3.3,6.8,4.3,14.3,2.8,8.4,3.8,19,0,0,0,0,9,0,1,0,43617Utah
1/06/2019,Vermont,3/03/2020,16,41.3,0,2.6,12.8,0.8,49.8,0,14.7,3.2,32.1,0,1.6,4.5,1.5,50.5,1.3,4.9,2,7,0,0,0,0,8,0,1,0,43617Vermont
1/06/2019,Virginia,3/03/2020,99,44.4,0,3.2,8.5,2.3,15.8,0,8.4,0.6,58.9,0,3.7,6.2,4.2,11.3,2.7,6.3,3.3,73,0,0,0,0,26,0,0,0,43617Virginia
1/06/2019,Idaho,10/03/2020,20,41.9,0,0.7,8.5,4.6,15.1,0,11,0,54.2,0,3.3,7,5.5,11.6,3,7.7,3.5,15,0,0,0,0,5,0,0,0,43617Idaho
1/06/2019,Michigan,10/03/2020,125,42.1,0,1.2,7.6,2.8,20.6,0,10.5,1,52.8,0,3.3,5.8,4.2,16.7,3.2,7.4,3.3,83,0,0,0,0,40,0,2,0,43617Michigan
1/06/2019,Mississippi,10/03/2020,36,46.7,0,5.5,5.4,2.2,16.2,0,5.2,0.3,62.5,0,4.5,4.6,3.7,11.3,2.6,4.2,3,27,0,0,0,0,9,0,0,0,43617Mississippi
1/06/2019,Missouri,10/03/2020,68,45.7,0,3.4,6.2,3.2,16.8,0,6.8,0.5,60.3,0,4.2,5,4.3,11.8,3,5,2.9,50,0,0,0,0,18,0,0,0,43617Missouri
1/06/2019,North Dakota,10/03/2020,14,41.8,0,1.3,9.3,3.7,15.9,0,10.7,0.3,53.9,0,3.4,7.2,4.6,11.9,3.2,8,3.4,10,0,0,0,0,4,0,0,0,43617North Dakota
1/06/2019,Washington,10/03/2020,89,36.5,0,1.6,7.1,0.6,27.1,0,10.3,6.4,41.9,0,3.5,5.9,3.7,25.1,3.2,7.5,5.8,51,0,0,0,0,37,0,1,0,43617Washington
1/06/2019,Northern Marianas,14/03/2020,6,39.7,0,2.7,6.8,1.6,20.3,0,9,1.1,49.7,0,4.5,6.2,4.1,16.9,3.2,7.4,4,4,0,0,0,0,2,0,0,0,43617Northern Marianas
1/06/2019,Arizona,17/03/2020,67,39.7,0,1.6,8.2,2.9,21.8,0,12.1,1.7,47.8,0,3.5,6.7,4.6,17.9,3.1,8.7,4,41,0,0,0,0,23,0,3,0,43617Arizona
1/06/2019,Florida,17/03/2020,219,40.8,0,1.1,5.5,0.3,20.3,0,10.4,3.2,51.3,0,3.6,5.3,3.7,16.5,3.3,7.6,4.7,144,0,0,0,0,71,0,4,0,43617Florida
1/06/2019,Illinois,17/03/2020,155,48.5,0,1.1,5.8,0.9,15.5,0,8.5,0.8,64.2,0,2.9,4.7,3.2,10.5,2.7,5.7,3,117,0,0,0,0,38,0,0,0,43617Illinois
1/06/2019,Ohio,17/03/2020,136,43.7,0,0.5,10.9,4.5,25.1,0,9.9,1.4,52,0,2.7,7,4.2,19.3,2.7,6.2,2.9,85,0,0,2,0,49,0,0,0,43617Ohio
1/06/2019,Georgia,24/03/2020,105,45.8,0,4,5.2,2.8,17.2,0,7.3,0.5,59.1,0,4.4,4.7,4.2,12,3.1,5.6,3.3,76,0,0,0,0,29,0,0,0,43617Georgia
1/06/2019,Puerto Rico,29/03/2020,51,39.7,0,2.7,6.8,1.6,20.3,0,9,1.1,48,0,4.7,6.3,4.6,17.1,3.3,7.5,4.2,34,0,0,0,0,17,0,0,0,43617Puerto Rico
1/06/2019,Alaska,4/04/2020,15,39.2,0,1.1,8.8,1.2,15.2,0,11.6,0.5,47.8,0,4.1,7.8,4.6,12.9,3.6,9.4,4.1,11,0,0,0,0,4,0,0,0,43617Alaska
1/06/2019,Hawaii,4/04/2020,24,36,0,1,8.1,0.4,26.2,0,11.8,5.7,39.9,0,3.5,7.7,4.1,23.6,3.3,8.8,5.5,14,0,0,0,0,10,0,0,0,43617Hawaii
1/06/2019,Louisiana,4/04/2020,54,46.5,0,4.5,5.9,2.8,15.9,0,5.2,0.3,59.7,0,4.7,5.2,4.4,11,3.2,4.5,3.2,40,0,0,0,0,14,0,0,0,43617Louisiana
1/06/2019,Wyoming,4/04/2020,14,39.9,0,0.7,9.3,3,18.3,0,12.8,0.2,47.9,0,3.5,7.4,4.8,14.2,3.4,9.7,3.9,10,0,0,0,0,4,0,0,0,43617Wyoming
1/06/2019,Wisconsin,7/04/2020,84,34,0,1.2,6.9,3.1,26.1,0,13.6,0.6,37.3,0,4,6.7,5,24.4,4.1,10.5,4,45,0,0,0,0,34,0,5,0,43617Wisconsin
1/06/2019,Connecticut,28/04/2020,60,33.5,0,4,11.1,0.3,22.4,0,12.5,0.7,36.1,0,5.6,9.7,4.5,20.9,4,10.2,4.6,33,0,0,2,0,22,0,3,0,43617Connecticut
1/06/2019,Delaware,28/04/2020,21,48.4,0,4.9,12.8,0.1,22.9,0,10.9,1.2,54.8,0,3.9,7.4,3.1,15.4,2.7,6.4,2.9,14,0,0,1,0,6,0,0,0,43617Delaware
1/06/2019,Maryland,28/04/2020,96,35.8,0,6.3,10.9,0.3,22.2,0,12.2,2.4,38,0,6.1,9.5,4.4,19.3,3.9,9.7,4.7,56,0,0,1,0,35,0,4,0,43617Maryland
